geomaterial_id,mineral_IMA
1,Abelsonite
2,Abenakiite-(Ce)
3,Abernathyite
4,Abhurite
5,Ablykite
6,Abraum Salts
8,Absite
9,Abswurmbachite
10,Acanthite
11,Acanthoîde
13,Acetamide
14,Achavalite
15,Achlusite
16,Achrematite
17,Achtaragdite
18,Actinolite
19,Acuminite
21,Adamite
22,Adamsite
23,Adelite
24,Adigeite
27,Admontite
28,Adularia
30,Aedelforsite (of Retzius)
31,Aegirine
32,Aegirine-augite
33,Aenigmatite
34,Aerinite
36,Aerugite
37,Aeschynite-(Ce)
38,Aeschynite-(Nd)
39,Aeschynite-(Y)
40,Aeschynite
41,Afghanite
42,Afwillite
43,Agardite-(Nd)
44,Agardite-(Y)
45,Agalmatolite
46,Agardite
48,Agardite-(Ce)
49,Agardite-(Dy)
50,Agardite-(La)
51,Agate
52,Agate-Jasper
53,Agathacopalite
55,Aglaurite
57,Agrellite
58,Agrinierite
59,Aguilarite
60,Aheylite
61,Ahlfeldite
62,Aidrylite
63,Aikinite
65,Ainalite
66,Ajoite
67,Akaganeite
68,Akatoreite
69,Akdalaite
70,Akermanite
71,Akhtenskite
72,Akrochordite
73,Aksaite
74,Aktashite
75,Al-chamosite
77,Al-lizardite
78,Al-pyroxene
80,Alkali-ferrohastingsite
81,Alkali-spinel
87,Aluminocopiapite
89,Alabandite
90,Alabaster
91,Alacranite
92,Alaite
93,Alamosite
94,Alarsite
95,Alaskaite
96,Albite
97,Albrechtschraufite
101,Aldanite
103,Albrittonite
104,Aldermanite
106,Ferro-taramite
107,Aluminium
108,Aleksite
109,Alexandrite
110,Alexandrolite
111,Alexjejewite
112,Alforsite
113,Algerite
114,Algodonite
115,Aliettite
116,Alipite
117,Alisonite
118,Alkali Feldspar
120,Alkali-beryl
122,Allactite
123,Allagite
125,Allanite-(Ce)
126,Allanite-(La)
127,Allanite-(Y)
128,Allargentum
129,Alleghanyite
133,Allevardite
134,Alloclasite
136,Allomorphite
137,Allophane-chrysocolla
138,Allophane-evansite
139,Allophane
140,Allophite
141,Alluaivite
142,Alluaudite
143,Almbosite
145,Aloisiite
146,Alstonite
147,Altaite
148,Althausite
149,Althupite
150,Altisite
152,Alum Group
154,Aluminite
157,Alumohydrocalcite
158,Pharmacoalumite
159,Alumotantite
160,Alumotungstite
161,Alunite
162,Alunogen
163,Alurgite
164,Alushtite
165,Alvanite
166,Alvite
173,Ammonium-Aphthitalite
180,Amakinite
181,Amalgam
182,Amarantite
183,Amarillite
184,Amazonite
185,Ammonium-Vermiculite
188,Amber
189,Amblygonite
190,Ammonium-Illite
195,Ameghinite
197,Amesite
